[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:19) ] - [ main:2 ] -   sdssssssssssssss
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:3 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:3 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:3 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:5 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:6 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:6 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:6 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:7 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:8 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:9 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:10 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:10 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:10 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:10 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:10 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:11 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:12 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:12 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:12 ] -   CCC
[ERROR ] 2019-04-28 13:52:31 - [com.lix.LogT.main(LogT.java:26) ] - [ main:12 ] -   CCC
